Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;3;200;10;30;30;952816;1726181917139364238
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;3;200;10;30;30;937848;1726181917239344470
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;3;200;10;30;30;980514;1726181917339311315
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;4;200;10;30;30;413542;1726181916459335986
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;4;200;10;30;30;387421;1726181916559296234
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;4;200;10;30;30;1108073;1726181916939315558
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;4;200;10;30;30;956458;1726181917039287967
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;5;200;10;30;30;778140;1726181916389549191
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;5;200;10;30;30;440567;1726181916659321895
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;6;200;10;30;30;540777;1726181916399623001
2;8;0;200;10;30;30;0;0
3;8;6;200;10;30;30;454443;1726181916419566684
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;7;200;10;30;30;666295;1726181916409577743
3;8;0;200;10;30;30;0;0
4;8;7;200;10;30;30;433866;1726181916429363617
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;9;200;10;30;30;1385286;1726181916539418359
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;9;200;10;30;30;549519;1726181916959350464
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;9;200;10;30;30;527625;1726181917059443461
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;10;200;10;30;30;540650;1726181916549384265
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;10;200;10;30;30;483925;1726181916579473700
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
27;8;0;200;10;30;30;0;0
28;8;0;200;10;30;30;0;0
29;8;0;200;10;30;30;0;0
30;8;0;200;10;30;30;0;0
31;8;0;200;10;30;30;0;0
32;8;0;200;10;30;30;0;0
33;8;0;200;10;30;30;0;0
34;8;0;200;10;30;30;0;0
35;8;0;200;10;30;30;0;0
36;8;0;200;10;30;30;0;0
37;8;0;200;10;30;30;0;0
38;8;0;200;10;30;30;0;0
39;8;0;200;10;30;30;0;0
40;8;0;200;10;30;30;0;0
41;8;0;200;10;30;30;0;0
42;8;0;200;10;30;30;0;0
43;8;0;200;10;30;30;0;0
44;8;0;200;10;30;30;0;0
45;8;0;200;10;30;30;0;0
46;8;0;200;10;30;30;0;0
47;8;0;200;10;30;30;0;0
48;8;0;200;10;30;30;0;0
49;8;0;200;10;30;30;0;0
50;8;0;200;10;30;30;0;0
51;8;0;200;10;30;30;0;0
52;8;0;200;10;30;30;0;0
53;8;0;200;10;30;30;0;0
54;8;0;200;10;30;30;0;0
55;8;0;200;10;30;30;0;0
56;8;0;200;10;30;30;0;0
57;8;0;200;10;30;30;0;0
58;8;0;200;10;30;30;0;0
59;8;0;200;10;30;30;0;0
60;8;0;200;10;30;30;0;0
61;8;0;200;10;30;30;0;0
62;8;0;200;10;30;30;0;0
63;8;0;200;10;30;30;0;0
64;8;0;200;10;30;30;0;0
65;8;0;200;10;30;30;0;0
66;8;0;200;10;30;30;0;0
67;8;0;200;10;30;30;0;0
68;8;0;200;10;30;30;0;0
69;8;0;200;10;30;30;0;0
70;8;0;200;10;30;30;0;0
71;8;0;200;10;30;30;0;0
72;8;0;200;10;30;30;0;0
73;8;0;200;10;30;30;0;0
74;8;0;200;10;30;30;0;0
75;8;0;200;10;30;30;0;0
76;8;0;200;10;30;30;0;0
77;8;0;200;10;30;30;0;0
78;8;0;200;10;30;30;0;0
79;8;0;200;10;30;30;0;0
80;8;0;200;10;30;30;0;0
81;8;0;200;10;30;30;0;0
82;8;0;200;10;30;30;0;0
83;8;0;200;10;30;30;0;0
84;8;0;200;10;30;30;0;0
85;8;0;200;10;30;30;0;0
86;8;0;200;10;30;30;0;0
87;8;0;200;10;30;30;0;0
88;8;0;200;10;30;30;0;0
89;8;0;200;10;30;30;0;0
90;8;0;200;10;30;30;0;0
91;8;0;200;10;30;30;0;0
92;8;0;200;10;30;30;0;0
93;8;0;200;10;30;30;0;0
94;8;0;200;10;30;30;0;0
95;8;0;200;10;30;30;0;0
96;8;0;200;10;30;30;0;0
97;8;0;200;10;30;30;0;0
98;8;0;200;10;30;30;0;0
99;8;0;200;10;30;30;0;0
0;8;0;200;10;30;30;0;0
1;8;0;200;10;30;30;0;0
2;8;0;200;10;30;30;0;0
3;8;0;200;10;30;30;0;0
4;8;0;200;10;30;30;0;0
5;8;0;200;10;30;30;0;0
6;8;0;200;10;30;30;0;0
7;8;0;200;10;30;30;0;0
8;8;0;200;10;30;30;0;0
9;8;0;200;10;30;30;0;0
10;8;0;200;10;30;30;0;0
11;8;0;200;10;30;30;0;0
12;8;0;200;10;30;30;0;0
13;8;0;200;10;30;30;0;0
14;8;0;200;10;30;30;0;0
15;8;0;200;10;30;30;0;0
16;8;0;200;10;30;30;0;0
17;8;0;200;10;30;30;0;0
18;8;0;200;10;30;30;0;0
19;8;0;200;10;30;30;0;0
20;8;0;200;10;30;30;0;0
21;8;0;200;10;30;30;0;0
22;8;0;200;10;30;30;0;0
23;8;0;200;10;30;30;0;0
24;8;0;200;10;30;30;0;0
25;8;0;200;10;30;30;0;0
26;8;0;200;10;30;30;0;0
